term,doc_freq,total,source_fields,gene_ids
auxin response factor,13,34,RELATED locus_synonym,IDP683 (tpzm:0002057); arftf25 (tpzm:0009155)
abc transporter,13,17,EXACT locus_synonym,IDP7571 (tpzm:0002291)
taa,13,16,EXACT locus_synonym,tar2 (tpzm:0022853)
elongation factor,13,14,EXACT locus_synonym,rack2 (tpzm:0020937)
hct,12,912,RELATED locus_synonym,Zm00001d002139 (tpzm:0005301); gll1 (tpzm:0014002); hct16 (tpzm:0014874); hct17 (tpzm:0014875); hct19 (tpzm:0014877); hct23 (tpzm:0014882); hct24 (tpzm:0014883); hct25 (tpzm:0014884); hct26 (tpzm:0014885); hct28 (tpzm:0014887); hct29 (tpzm:0014888); hct31 (tpzm:0014891)
cct,12,144,RELATED locus_synonym,GRMZM2G041369 (tpzm:0000525); GRMZM2G082633 (tpzm:0000705); GRMZM2G352855 (tpzm:0001133); Zm00001eb096400 (tpzm:0007559)
f-box protein,12,116,RELATED locus_synonym,Zm00001eb049550 (tpzm:0007457); Zm00001eb187770 (tpzm:0007789); cl9792_1b (tpzm:0012032); umc1557a (tpzm:0023741)
h4,12,59,EXACT locus_synonym,his402 (tpzm:0015035)
g1,12,37,EXACT locus_synonym,AB512482 (tpzm:0000048)
thioredoxin,12,34,RELATED locus_synonym,IDP6969 (tpzm:0002093); LOC100279286 (tpzm:0003268); aprl1 (tpzm:0009088); pco141631 (tpzm:0019185)
saur,12,21,EXACT locus_synonym,LOC100282558 (tpzm:0003435)
chs,11,264,RELATED locus_synonym,LOC103650038 (tpzm:0004657); LOC109940988 (tpzm:0004869); LOC109946089 (tpzm:0004925); Zm00001eb158750 (tpzm:0007725); chls8 (tpzm:0010570); pco074899 (tpzm:0018273); pco104509 (tpzm:0018707); whp1 (tpzm:0024495)
o2,11,253,EXACT jschnable_name; EXACT locus; EXACT maizegdb_name; NAME (gene symbol),o2 (tpzm:0017812)
rum1,11,205,EXACT locus; NAME (gene symbol),rum1 (tpzm:0021577)
l3,11,135,EXACT locus_synonym,ole1 (tpzm:0017880)
anr,11,124,RELATED locus_synonym,AY103770 (tpzm:0000127); IDP7346 (tpzm:0002205); LOC100193896 (tpzm:0002921); umc2332 (tpzm:0024078)
ccr,11,122,RELATED locus_synonym,GRMZM2G068917 (tpzm:0000650); Zm00001d015513 (tpzm:0005801)
c4h,11,105,RELATED locus_synonym,LOC109940614 (tpzm:0004865); Zm00001d012510 (tpzm:0005698); Zm00001d016471 (tpzm:0005834); Zm00001d037849 (tpzm:0006641); cyp46 (tpzm:0012529); cyp47 (tpzm:0012530); umc2381 (tpzm:0024103)
calmodulin,11,99,EXACT locus_synonym; RELATED locus_synonym,IDP7337 (tpzm:0002201); LOC100272455 (tpzm:0002999); LOC100280813 (tpzm:0003328); LOC100286292 (tpzm:0003655); LOC100502179 (tpzm:0003868); TIDP2761 (tpzm:0005079); TIDP3279 (tpzm:0005152); bnlg1136a (tpzm:0009696); umc2698 (tpzm:0024204)
pr1,11,53,EXACT locus; NAME (gene symbol); RELATED locus_synonym,drg6 (tpzm:0012973); pr1 (tpzm:0020267); prp24 (tpzm:0020463)
hk,11,48,RELATED locus_synonym,hex1 (tpzm:0014915); hex4 (tpzm:0014918); hex7 (tpzm:0014921)
nadp-me,11,38,EXACT locus_synonym,me3 (tpzm:0016196)
kn1,11,28,EXACT jschnable_name; EXACT locus; NAME (gene symbol),kn1 (tpzm:0015545)
udp-glycosyltransferase,11,22,EXACT locus_synonym,sus2 (tpzm:0022806)
wd40,11,19,EXACT locus_synonym,Zm00001d036359 (tpzm:0006583)
bzip transcription factor,11,19,EXACT locus_synonym; RELATED locus_synonym,bzip117 (tpzm:0009840); nrg14 (tpzm:0017714); nrg17 (tpzm:0017717); nrg23 (tpzm:0017724); nrg4 (tpzm:0017726); nrg5 (tpzm:0017727)
myb transcription factor,11,17,EXACT locus_synonym,GRMZM5G892094 (tpzm:0001339)
liguleless1,11,15,EXACT description; EXACT locus_name; EXACT locus_synonym,lg1 (tpzm:0015753)
knotted1,11,12,EXACT description; EXACT locus_name; EXACT locus_synonym,kn1 (tpzm:0015545)
c3h,10,155,RELATED locus_synonym,LOC103646328 (tpzm:0004540); pco105214a (tpzm:0018716); si486014g01 (tpzm:0021939); umc1214 (tpzm:0023556); umc2009 (tpzm:0023926)
gt1,10,125,EXACT locus; EXACT locus_synonym; NAME (gene symbol),gt1 (tpzm:0014604); ugt2 (tpzm:0023479)
sh2,10,96,EXACT jschnable_name; EXACT locus; NAME (gene symbol),sh2 (tpzm:0021918)
pol,10,84,EXACT locus_synonym,mgs1 (tpzm:0016254)
hsp70,10,50,EXACT locus_synonym,Zm00001d048687 (tpzm:0007063)
agpase,10,50,RELATED locus_synonym,agpll1 (tpzm:0008851); agpsl1 (tpzm:0008853)
ost1,10,46,EXACT locus; NAME (gene symbol); RELATED locus_synonym,nactf49 (tpzm:0017282); ost1 (tpzm:0017943); snrkII8 (tpzm:0022618)
zinc finger protein,10,45,RELATED locus_synonym,IDP535 (tpzm:0001922); Zm00001eb256600 (tpzm:0008002); nudx31 (tpzm:0017787)
pif4,10,45,EXACT locus_synonym; RELATED locus_synonym,bhlh163 (tpzm:0009519); bhlh47 (tpzm:0009588); bhlh60 (tpzm:0009603)
pseudo,10,36,RELATED locus_synonym,gata14 (tpzm:0013803); jmj3 (tpzm:0015478); mybr23 (tpzm:0017070)
starch synthase,10,26,EXACT locus_synonym,Zm00001eb355940 (tpzm:0008231)
polygalacturonase,10,18,EXACT locus_synonym,pgl11 (tpzm:0019530); pgl52 (tpzm:0019569)
expansin,10,16,EXACT locus_synonym,Zm00001eb239160 (tpzm:0007955)
cysteine protease,10,15,EXACT locus_synonym,ccp10 (tpzm:0010278)
wrky transcription factor,10,14,EXACT locus_synonym,ring425 (tpzm:0021286)
peptidase,10,13,EXACT locus_synonym,mlns1 (tpzm:0016562)
pa,10,11,EXACT locus_synonym,bz2 (tpzm:0009821)
fer,9,394,RELATED locus_synonym,flr1 (tpzm:0013640); flr2 (tpzm:0013649)
rth3,9,327,EXACT jschnable_name; EXACT locus; NAME (gene symbol),rth3 (tpzm:0021569)
zmcct,9,240,EXACT locus_synonym; RELATED locus_synonym,cct1 (tpzm:0010325); cct3 (tpzm:0010340); cct41 (tpzm:0010345); prrh1 (tpzm:0020479)
f5h,9,150,RELATED locus_synonym,LOC103626064 (tpzm:0003903); LOC103632819 (tpzm:0004100); cyp20 (tpzm:0012503); fah1 (tpzm:0013494); fah2 (tpzm:0013495)
lipase,9,96,RELATED locus_synonym,IDP3974 (tpzm:0001660); Zm00001d042183 (tpzm:0006781); Zm00001d048721 (tpzm:0007066); pco060587 (tpzm:0018075)
lg1,9,81,EXACT jschnable_name; EXACT locus; NAME (gene symbol),lg1 (tpzm:0015753)
tpp,9,80,RELATED locus_synonym,trpp14 (tpzm:0023245); trpp4 (tpzm:0023248); trpp6 (tpzm:0023250); trpp7 (tpzm:0023251)
lg2,9,76,EXACT jschnable_name; EXACT locus; NAME (gene symbol),lg2 (tpzm:0015754)
cad,9,76,RELATED locus_synonym,LOC103638604 (tpzm:0004308); cad3 (tpzm:0010091); cad5 (tpzm:0010092); cad9 (tpzm:0010096)
tps,9,74,RELATED locus_synonym,trps12 (tpzm:0023257); trps8 (tpzm:0023267)
bak1,9,58,EXACT locus; EXACT locus_synonym; NAME (gene symbol),Zm00001d053818 (tpzm:0007281); bak1 (tpzm:0009394)
